ORI9
'AK0010100'
'AK0010200'
'AK0010300'
'AK0010400'
'AK0010500'
'AK0010600'
'AK0010800'
'AK0010900'
'AK0011200'
'AK0011300'
'AK0011400'
'AK0011600'
'AK0011700'
'AK0011800'
'AK0012000'
'AK0012200'
'AK0012300'
'AK0013000'
'AK0013200'
'AK0013300'
'AK0014600'
'AK0015600'
'AL0010600'
'AL0010700'
'AL0010800'
'AL0010900'
'AL0011200'
'AL0011300'
'AL0011900'
'AL0012200'
'AL0012300'
'AL0012600'
'AL0020100'
'AL0020200'
'AL0020300'
'AL0020400'
'AL0020500'
'AL0020700'
'AL0021500'
'AL0030100'
'AL0040100'
'AL0050100'
'AL0050200'
'AL0050300'
'AL0050400'
'AL0050500'
'AL0050800'
'AL0050900'
'AL0060100'
'AL0070200'
'AL0070400'
'AL0080100'
'AL0080400'
'AL0100200'
'AL0110100'
'AL0110200'
'AL0110300'
'AL0110500'
'AL0120200'
'AL0120400'
'AL0130100'
'AL0130300'
'AL0150100'
'AL0170100'
'AL0190100'
'AL0190200'
'AL0190300'
'AL0200100'
'AL0200200'
'AL0200300'
'AL0200500'
'AL0210100'
'AL0250100'
'AL0250200'
'AL0260200'
'AL0260300'
'AL0260500'
'AL0260600'
'AL0280700'
'AL0290100'
'AL0290200'
'AL0290300'
'AL0290600'
'AL0300100'
'AL0300200'
'AL0300300'
'AL0300400'
'AL0310200'
'AL0310400'
'AL0310700'
'AL0310800'
'AL0320100'
'AL0330100'
'AL0330300'
'AL0340100'
'AL0340300'
'AL0360200'
'AL0370100'
'AL0370200'
'AL0380200'
'AL0390100'
'AL0400100'
'AL0410100'
'AL0420100'
'AL0430100'
'AL0430200'
'AL0440100'
'AL0460100'
'AL0460200'
'AL0470100'
'AL0470200'
'AL0470400'
'AL0480100'
'AL0480200'
'AL0490100'
'AL0490200'
'AL0500200'
'AL0500300'
'AL0500600'
'AL0520100'
'AL0520200'
'AL0520700'
'AL0540100'
'AL0540300'
'AL0550100'
'AL0560300'
'AL0570100'
'AL0580400'
'AL0580500'
'AL0580600'
'AL0580700'
'AL0580800'
'AL0590300'
'AL0590400'
'AL0590600'
'AL0590700'
'AL0610200'
'AL0620100'
'AL0620200'
'AL0630100'
'AL0630200'
'AL0630700'
'AL0631400'
'AL0640100'
'AL0640400'
'AL0640500'
'AL0650100'
'AL0660200'
'AR0010100'
'AR0010200'
'AR0020100'
'AR0020200'
'AR0030100'
'AR0030200'
'AR0030300'
'AR0040100'
'AR0040200'
'AR0040300'
'AR0040400'
'AR0040500'
'AR0040600'
'AR0040700'
'AR0040800'
'AR0040900'
'AR0041300'
'AR0042000'
'AR0042100'
'AR0050100'
'AR0060100'
'AR0070100'
'AR0080100'
'AR0080300'
'AR0090100'
'AR0090200'
'AR0090300'
'AR0100100'
'AR0100200'
'AR0100300'
'AR0110100'
'AR0110200'
'AR0120100'
'AR0120200'
'AR0120300'
'AR0130100'
'AR0140100'
'AR0150100'
'AR0150300'
'AR0160100'
'AR0160200'
'AR0160300'
'AR0160400'
'AR0170100'
'AR0170200'
'AR0170300'
'AR0180100'
'AR0180400'
'AR0190100'
'AR0200100'
'AR0210300'
'AR0220100'
'AR0230100'
'AR0230200'
'AR0230300'
'AR0230400'
'AR0240100'
'AR0240200'
'AR0250100'
'AR0270100'
'AR0280100'
'AR0280200'
'AR0290100'
'AR0310100'
'AR0340300'
'AR0340600'
'AR0350100'
'AR0350200'
'AR0350300'
'AR0360100'
'AR0370200'
'AR0380100'
'AR0380200'
'AR0380400'
'AR0390100'
'AR0400200'
'AR0410100'
'AR0420100'
'AR0420200'
'AR0430100'
'AR0430200'
'AR0430300'
'AR0430400'
'AR0430600'
'AR0450200'
'AR0450300'
'AR0460100'
'AR0470100'
'AR0470200'
'AR0470300'
'AR0470700'
'AR0480100'
'AR0520100'
'AR0520200'
'AR0530100'
'AR0540100'
'AR0540300'
'AR0550100'
'AR0560200'
'AR0570100'
'AR0580100'
'AR0580200'
'AR0580700'
'AR0581000'
'AR0590200'
'AR0600100'
'AR0600200'
'AR0600300'
'AR0600400'
'AR0600800'
'AR0601600'
'AR0610100'
'AR0630100'
'AR0640100'
'AR0660100'
'AR0660200'
'AR0660300'
'AR0670100'
'AR0680200'
'AR0680400'
'AR0680600'
'AR0690100'
'AR0700100'
'AR0710100'
'AR0710200'
'AR0720100'
'AR0720300'
'AR0720500'
'AR0720600'
'AR0720700'
'AR0730200'
'AR0730300'
'AR0730400'
'AR0730600'
'AR0730800'
'AR0731000'
'AR0750100'
'AR0750300'
'AZ0010100'
'AZ0010500'
'AZ0021300'
'AZ0030100'
'AZ0030700'
'AZ0030800'
'AZ0040100'
'AZ0040500'
'AZ0040600'
'AZ0050100'
'AZ0050500'
'AZ0070300'
'AZ0070500'
'AZ0070700'
'AZ0071100'
'AZ0071300'
'AZ0071500'
'AZ0071700'
'AZ0071900'
'AZ0072100'
'AZ0072300'
'AZ0072500'
'AZ0072700'
'AZ0072900'
'AZ0073300'
'AZ0080100'
'AZ0080400'
'AZ0080500'
'AZ0090100'
'AZ0090300'
'AZ0090900'
'AZ0091300'
'AZ0100300'
'AZ0100400'
'AZ0100900'
'AZ0110300'
'AZ0110500'
'AZ0110700'
'AZ0110900'
'AZ0111300'
'AZ0111700'
'AZ0120100'
'AZ0130100'
'AZ0130300'
'AZ0130500'
'AZ0130700'
'AZ0131100'
'AZ0131300'
'AZ0140300'
'AZ0140500'
'AZ0140800'
'CA0010100'
'CA0010200'
'CA0010300'
'CA0010400'
'CA0010500'
'CA0010600'
'CA0010700'
'CA0010800'
'CA0010900'
'CA0011000'
'CA0011100'
'CA0011200'
'CA0011300'
'CA0030200'
'CA0030300'
'CA0030500'
'CA0040200'
'CA0040300'
'CA0040400'
'CA0040500'
'CA0050100'
'CA0060100'
'CA0060200'
'CA0070100'
'CA0070200'
'CA0070300'
'CA0070400'
'CA0070500'
'CA0070600'
'CA0070700'
'CA0070800'
'CA0070900'
'CA0071100'
'CA0071200'
'CA0071300'
'CA0071400'
'CA0071600'
'CA0072400'
'CA0080100'
'CA0090100'
'CA0090200'
'CA0100100'
'CA0100200'
'CA0100300'
'CA0100400'
'CA0100500'
'CA0100600'
'CA0100700'
'CA0100800'
'CA0100900'
'CA0101000'
'CA0101100'
'CA0101200'
'CA0101300'
'CA0101500'
'CA0110100'
'CA0120100'
'CA0120300'
'CA0120400'
'CA0120500'
'CA0120700'
'CA0130100'
'CA0130200'
'CA0130400'
'CA0130600'
'CA0130700'
'CA0140100'
'CA0150100'
'CA0150200'
'CA0150300'
'CA0150500'
'CA0150600'
'CA0150700'
'CA0150800'
'CA0150900'
'CA0151100'
'CA0151400'
'CA0151500'
'CA0160100'
'CA0160200'
'CA0160300'
'CA0160700'
'CA0170100'
'CA0170200'
'CA0180100'
'CA0190100'
'CA0190200'
'CA0190500'
'CA0190600'
'CA0190700'
'CA0190800'
'CA0190900'
'CA0191000'
'CA0191200'
'CA0191300'
'CA0191600'
'CA0191800'
'CA0192000'
'CA0192200'
